name,dob,aadhar number,vid
Ritika Roy,24/03/1996,3609 1279 8233,4203 4002 2169 9600
Raj Ahuja,16/09/1993,6375 3093 4119,7486 7236 9540 9356
Gayatri Sabharwal,06/01/2002,1624 9773 3697,0959 6462 0815 0606
Rakesh Bhonsle,30/03/2006,3129 2153 0062,3982 7565 8840 7715
Sunita Saxena,31/08/1981,0849 0778 1192,5100 7930 7003 1844
Tanya Paul,25/09/1983,9486 5340 7581,5046 8384 5011 1590
Aniket Sandhu,09/12/1988,2637 7404 7498,2604 3593 9529 1456
Sharad Jain,16/12/1999,1888 9249 4853,3854 7144 3800 6000
Pallavi Zaveri,14/10/1982,2801 9083 3124,7323 0303 6868 2245
Harish Rana,10/09/1985,0198 9710 2652,7225 4380 7919 0404
Dinesh Talwar,03/04/2000,3477 2432 5695,6258 2177 5064 2908
Priya Rana,14/09/1981,4479 3996 6821,9100 3640 0434 9610
Rajesh Ahuja,26/09/2002,8642 8916 2149,2698 0480 6344 0192
Harish Dube,08/07/2002,1523 8302 1075,5968 1176 7575 6589
Asmita DCosta,24/03/1980,2772 3558 6179,0805 2104 3855 5314
Ritika Martins,18/05/1982,9588 4920 2246,9940 8992 3352 6335
Karan Barot,25/06/1982,9135 6292 4142,0205 8292 5161 3590
Dinesh Paul,02/08/1982,3284 3631 6220,1406 8655 0065 9867
Tarun Bhonsle,17/02/1998,9515 8169 2162,9031 0463 2254 8107
Rajeev Patel,18/12/1984,4819 0193 2081,0711 9524 5510 6336
Keshav Kaushik,25/10/2003,5667 5155 1301,5756 2955 5820 7602
Mohit Gill,18/08/1998,1869 9106 9286,3179 5180 4980 5508
Ipsita Sinha,13/04/1986,4816 5797 6700,2934 7866 4558 8257
Mitali Nair,20/02/1983,7746 7840 2677,0559 9749 7909 2503
Suresh Grover,02/12/2005,2504 2148 8899,4873 8208 4221 6941
Ajay Nair,24/09/1987,0272 3869 7991,0213 3153 4171 7385
Anjali Kalra,17/04/1995,3760 8654 2495,5792 3976 4165 3163
Sneha Dube,24/05/1991,5545 8552 0849,3099 7178 8815 9285
Sanya Ahuja,09/12/1992,6393 1015 7163,3940 5937 1273 0741
Manoj Kaushik,10/08/2001,8026 2884 5939,2462 0097 5513 7589
Rohit Malhotra,04/11/2004,1725 2256 8322,3154 6381 1004 8864
Lavanya Menon,06/05/1988,0233 6452 4105,6220 3050 1899 9446
Nikhil Tiwari,10/02/1982,6910 9505 2163,9721 4960 4585 6712
Snehal Saraf,18/10/1983,8221 0772 7489,7591 5781 1685 1112
Pallavi Ojha,04/09/1983,9398 1185 6416,0379 9916 0645 7394
Rajeev Bhadoria,12/05/1980,4055 3951 3711,5923 0985 8928 9900
Lavanya Bose,18/07/1999,5307 8238 9805,9176 9678 2143 6755
Uday Mascarenhas,29/12/2002,8693 3456 4560,9407 6388 9192 5071
Hemant Thomas,27/09/1997,4668 7345 2550,0621 2383 0107 9237
Hardik Ojha,13/08/1991,3070 5493 4347,0013 3628 2420 1293
Parth Sinha,09/06/1996,8519 3978 2318,5619 8454 8513 8488
Amrita Kumar,11/12/1981,1694 1059 6268,0281 8060 1451 2094
Sahil Iyer,09/06/2005,7352 9400 5389,6240 2025 0237 6308
Naveen Mascarenhas,19/05/1999,9350 3838 8623,0175 8266 6659 1796
Lakshya Tyagi,15/07/2001,1968 7145 4749,2116 9509 6423 1618
Gayatri Menon,20/12/1985,8312 6106 3392,0991 5350 6015 2472
Mitali Bhadoria,03/12/2003,7024 0295 2110,8991 9421 6869 7112
Priya Dube,12/04/1989,4800 2546 3992,1872 2410 7227 2010
Sunita Nagpal,19/07/2006,8858 9631 7617,9100 1393 6324 5056
Aditya Paul,15/01/1993,8533 1781 6299,1499 9629 1717 4725
Gaurav Sandhu,05/01/2003,9383 0400 3163,5481 0128 4816 3045
Tarun DSouza,24/02/1981,0736 7312 9194,8716 5565 5860 8806
Ravi Wadhwa,17/06/2005,4067 9708 8833,3851 7609 4498 4772
Deepti Menon,09/03/1999,9201 2134 5480,4885 6743 2608 7437
Mohit Dubey,13/10/1993,1734 6401 3477,8430 3834 7764 6434
Hardik Bajaj,10/11/1987,6546 6457 5570,3181 8906 8690 3878
Rahul Ahluwalia,26/10/1988,7534 7875 2414,7088 5913 4972 8406
Aparna Narang,21/10/1985,5381 8007 5920,6684 5051 7750 8896
Sanya Paul,20/12/1982,4780 5831 4811,5480 8480 9198 2300
Anjali Dubey,09/02/1984,6368 7042 5920,6436 1469 4055 8023
Simran Goel,26/07/1986,4921 8041 5219,2028 3718 5306 5675
Vijay Verma,17/12/1990,9251 8485 7726,7196 8887 1897 5550
Yogesh Roy,06/09/2006,3834 0909 9514,7216 5196 1917 2372
Mitali Jain,07/07/2006,4316 4771 1374,7947 6997 0721 9570
Kavya Kamble,26/08/1985,2562 3580 1613,6574 3203 2902 4264
Tarun Saraf,02/01/1986,0866 6329 3157,2352 9332 1404 5700
Juhi Kamble,19/09/1982,3358 4811 5705,5220 1897 7596 2592
Madhu Gill,27/04/1996,8429 0915 3229,5940 4519 2709 9953
Ravi Sinha,22/02/1998,9615 1271 0329,5859 9977 9146 3799
Deepti Tiwari,26/12/2005,8734 2853 1656,3761 7395 9674 0946
Hemant Mittal,24/01/1990,7275 2176 7266,1125 1560 0623 1069
Isha Chopra,17/07/1981,6999 5783 2004,4388 4885 4141 8055
Neha Vaswani,01/03/1985,6711 6286 6331,6727 3292 4181 1618
Karan Mehta,18/01/1984,4680 1297 9650,0544 4425 7086 6403
Anjali Rodrigues,20/01/1994,7196 2050 4641,1489 1692 9921 2240
Dev Rodrigues,05/05/1996,9869 6349 4013,9121 0194 4596 7505
Aarav Tyagi,12/10/2005,2957 0407 1732,6588 7340 7352 6683
Sanya Bhatt,16/02/1985,2341 8312 1774,5079 7321 2252 2064
Lavanya Kaushik,07/04/1994,6500 4980 7964,9826 1283 6188 7410
Abhishek Pande,26/11/1991,1459 9861 9342,9186 6880 3097 8619
Kunal Chopra,12/08/1981,8278 8727 6496,7967 5650 8164 7822
Harsha Reddy,02/06/1980,3303 2021 6520,1279 9365 8479 0734
Madhu Tandon,28/12/1992,8396 8047 2802,1134 5125 0960 9656
Hemant Wadhwa,17/05/1980,2075 7248 1809,6396 4948 1741 3573
Siddharth Nagpal,05/05/1996,2204 9042 1466,8048 3832 4256 9876
Sameer Ghosh,12/04/2005,0544 5064 2200,2413 8195 8760 0471
Juhi Kohli,09/09/1984,5075 2533 1315,9480 2452 3522 3811
Meena Tiwari,28/07/1991,3378 0197 4957,9670 9058 9602 9862
Bhavesh Ghosh,15/04/1987,5309 9306 9514,5453 2267 7493 2975
Naveen Saraf,12/11/1983,1693 7864 2532,5678 9723 3374 4420
Karan Nair,18/07/1982,5750 4502 7810,5418 2157 2326 3939
Ritika Jain,02/05/1986,9347 4826 4256,7355 5959 9391 8098
Parth Kaushik,09/12/1997,9802 5790 7664,2309 3607 9290 0424
Dev Das,18/12/1983,0760 4029 6841,2513 8890 3428 1841
Aarav Thakur,29/10/1996,9210 8006 4852,2186 6380 9794 5636
Neelam Jacob,02/03/1986,3317 9859 8274,9721 4360 0287 4550
Om Nair,15/04/1999,0050 4893 6980,8915 0169 6459 4002
Ruchi Modi,12/01/2001,5154 8727 3111,0715 1160 6537 6592
Mitali Mascarenhas,16/03/1996,1405 7434 6078,9904 9973 9098 8397
Tarun Sharma,06/08/1984,8323 9632 9980,8034 1608 2406 9541
Rahul Chopra,21/12/2000,5516 3608 2848,7025 5172 0645 0197
Neelam Chopra,13/10/1985,8577 2169 3099,2649 6142 4338 9184
Gayatri Nagpal,05/02/1983,3971 6837 1570,8747 7460 7412 7371
Madhavi Thakur,06/05/1988,9471 8127 6115,7650 3897 9322 1656
Rakesh Pillai,30/10/1986,3595 9610 4977,9456 1082 9667 9434
Shreya DSouza,02/02/2001,4273 1950 4021,4283 8618 5466 0110
Hardik Grover,23/10/2004,4004 0819 2852,0824 8962 5553 0910
Sameer Kaushik,14/12/1995,4070 7189 2176,0730 5441 9525 0218
Ritika Pandey,22/11/1999,0232 7547 3030,2379 8039 1691 8914
Gayatri Gonsalves,03/02/2001,0266 8462 3733,5401 8544 0859 1458
Sheetal Vohra,25/10/1989,8180 9314 4519,3127 7623 9322 6284
Hemant Desai,21/01/2005,1121 1064 3085,2714 7356 1353 9755
Amit Verma,07/09/1989,2720 2372 5814,7784 7934 8154 9091
Trisha Verma,01/12/2004,6282 5846 3481,9292 2247 2707 5413
Sneha Gupta,27/05/2004,9474 6217 4911,6803 2636 7650 6770
Simran Ahuja,22/01/2006,0232 5959 2844,2073 6283 6120 3675
Gaurav Menon,28/05/1982,2159 7673 4831,6941 6684 5530 6721
Anjali Das,26/10/1988,0476 7698 4239,4185 2259 1348 0632
Deepak Pande,16/08/1995,7238 7711 1233,1769 8814 9508 5747
Sahil Mishra,28/08/1997,6769 4522 5114,2911 0602 2724 6474
Lavanya Joshi,01/02/1993,2882 8492 6619,9932 4064 7695 9340
Sheetal Bhadoria,17/06/2005,5976 9997 0986,8574 6484 0269 1733
Tanvi Tandon,05/11/1987,3622 4477 0999,3679 8053 9486 8186
Naina Kulkarni,17/04/1994,9871 9167 1429,6879 5278 9449 6715
Abhishek Pereira,21/02/1989,1722 7383 6260,6644 4268 0805 6953
Asmita Tiwari,14/02/2006,3135 9123 0021,0614 6586 9507 8851
Lakshya Chopra,03/12/1994,8546 7715 0705,3046 0637 0007 5188
Arjun Malhotra,26/03/1984,1445 0066 0368,7755 0015 1325 6896
Sanjay Kalra,19/09/1982,7344 7599 9776,1229 2459 3384 3032
Gaurav Bagga,13/02/1986,7438 9222 9587,8150 5374 5378 0980
Sharad Tyagi,03/11/1983,6454 6232 0997,0912 3550 0394 0252
Sameer Kapoor,12/01/1990,1853 1058 2780,8899 3933 7176 0026
Lavanya Vaswani,05/11/1999,0348 6061 5169,4400 7925 8547 7990
Lakshya Saxena,08/08/1994,2111 6913 0344,6145 3689 5618 7479
Akhil DCosta,30/06/1986,5794 1190 0886,2266 6742 5767 5551
Divya Pereira,21/11/1986,0873 1479 5428,1999 9883 0851 1511
Aryan Das,23/03/1994,2760 0597 0742,3064 7559 3813 3321
Suresh Chouhan,01/03/1992,7592 6147 2535,3496 6000 0110 3415
Rajesh Kapoor,10/12/1996,0119 9126 7157,3860 5989 6187 6923
Akhil Kulkarni,23/07/1984,0979 1916 6477,7785 0819 4404 2643
Vinay Bose,11/10/2005,5951 3685 2850,5803 8279 8178 0282
Ruchi Kohli,04/01/2002,8608 2621 6763,7207 4509 9939 6884
Harsha Ahluwalia,23/01/1986,3331 4970 9010,9109 2857 6761 1780
Aniket Bagga,19/05/1983,8343 3537 0638,7818 8750 1944 1801
Suresh Rawat,15/12/2001,0802 2902 1216,0994 5949 7644 8832
Dinesh Menezes,20/08/1982,5829 5881 3527,0041 2507 4148 6863
Shalini Narang,12/05/1998,4344 8658 0183,1856 9635 9497 6086
Lavanya Singh,03/12/2005,4362 1632 5891,3740 7611 6121 0332
Rakesh Thomas,18/02/1991,7664 4345 2324,6814 9557 4161 3553
Meena Dutta,16/09/1998,8569 5666 6987,9498 4482 1879 1198
Nandini Reddy,21/06/1989,2238 6144 6003,8006 5051 0674 2634
Tushar Mehta,07/07/2003,4029 7298 2833,8381 6606 2492 0169
Dinesh Chhabra,30/04/1987,4927 5596 6503,9792 6696 1180 7826
Kiran Rao,16/05/1994,1088 1461 3879,4664 1546 1080 6469
Nandini Mascarenhas,18/05/1984,9886 6741 9029,0932 0969 0538 3066
Nandini Kamble,15/08/1999,1888 5211 9354,4968 1906 5385 7063
Asmita Mehta,29/04/1988,7556 9878 2589,2493 9808 0163 4560
Asmita Makhija,08/08/1984,8755 9256 3675,5926 9030 3905 5020
Om Gill,22/03/1989,9343 6953 3616,1192 9230 9472 3072
Simran Chhabra,13/09/1989,4622 2424 0871,3818 3048 0442 2479
Rahul Bajaj,30/07/2003,5800 9804 1580,5041 7525 7937 2598
Dinesh Chhabra,11/01/1985,3410 4026 2890,5592 8976 2614 7089
Ravi Kohli,15/07/2004,9092 3334 7719,5479 5383 7180 9709
Ajay Mascarenhas,28/01/1987,4270 5666 6316,8837 6743 7834 4940
Leena Ojha,13/11/1984,4554 6683 9177,3397 7697 5404 2497
Madhavi Ahluwalia,31/10/2004,0839 2463 9409,8059 0808 4094 4250
Asmita Kamble,13/04/1996,8360 7658 4836,0804 6563 0252 2156
Harish Tyagi,13/12/2004,5953 8386 7821,9366 5226 2823 2270
Sahil Dias,07/11/2000,6974 8357 1503,9474 9898 0033 8776
Om Mathew,07/06/1986,4644 7394 6579,3386 1168 3199 2302
Varun Dias,07/09/1988,4718 7308 8764,8324 7160 4803 5999
Kiran Mehta,09/05/1995,8920 0773 5016,2861 1347 8762 7499
Naina Rana,23/11/1997,2963 7193 5613,1992 9452 6677 2236
Gayatri Sinha,17/07/1998,3185 7148 4811,0469 8523 2562 9015
Naina Desai,16/02/1988,0953 2746 8747,3936 4108 6221 5546
Tanya Rao,25/08/1983,3390 4459 6698,7552 4257 3220 2253
Komal Makhija,31/08/1981,0622 0274 9133,2790 1077 1914 4447
